section,temp,target_delay_ps,matched_voltage_v
ff,0,253.05,0.897716
ff,50,253.05,0.903331
ff,125,253.05,0.905725
ss,0,253.05,1.16
ss,50,253.05,1.17153
ss,125,253.05,1.18346
tt,0,253.05,1.02804
tt,50,253.05,1.03644
tt,125,253.05,1.04294
