section,temp,target_delay_ps,matched_voltage_v
ff,0,106.005,1.01562
ff,50,106.005,1.01939
ff,125,106.005,1.01097
ss,0,106.005,1.32
ss,50,106.005,1.34138
ss,125,106.005,1.35692
tt,0,106.005,1.15128
tt,50,106.005,1.16154
tt,125,106.005,1.16254
