section,temp,target_delay_ps,matched_voltage_v
ff,0,300.925,0.941125
ff,50,300.925,0.937438
ff,125,300.925,0.9182
ss,0,300.925,1.21
ss,50,300.925,1.21728
ss,125,300.925,1.21494
tt,0,300.925,1.06416
tt,50,300.925,1.06477
tt,125,300.925,1.05229
