section,temp,target_delay_ps,matched_voltage_v
ff,0,95.6068,0.890698
ff,50,95.6068,0.896131
ff,125,95.6068,0.897455
ss,0,95.6068,1.16
ss,50,95.6068,1.17106
ss,125,95.6068,1.18206
tt,0,95.6068,1.02498
tt,50,95.6068,1.03291
tt,125,95.6068,1.03834
