section,temp,target_delay_ps,matched_voltage_v
ff,0,82.5069,1.01902
ff,50,82.5069,1.0337
ff,125,82.5069,1.04367
ss,0,82.5069,1.32
ss,50,82.5069,1.35369
ss,125,82.5069,1.39039
tt,0,82.5069,1.15636
tt,50,82.5069,1.17856
tt,125,82.5069,1.19929
