section,temp,target_delay_ps,matched_voltage_v
ff,0,107.667,0.892304
ff,50,107.667,0.898913
ff,125,107.667,0.899393
ss,0,107.667,1.16
ss,50,107.667,1.17466
ss,125,107.667,1.18713
tt,0,107.667,1.02579
tt,50,107.667,1.03614
tt,125,107.667,1.04169
