section,temp,target_delay_ps,matched_voltage_v
ff,0,256.544,1.02216
ff,50,256.544,1.02482
ff,125,256.544,1.01375
ss,0,256.544,1.32
ss,50,256.544,1.33889
ss,125,256.544,1.3503
tt,0,256.544,1.15471
tt,50,256.544,1.16347
tt,125,256.544,1.16136
