section,temp,target_delay_ps,matched_voltage_v
ff,0,113.889,0.92764
ff,50,113.889,0.923171
ff,125,113.889,0.902808
ss,0,113.889,1.2
ss,50,113.889,1.20599
ss,125,113.889,1.20251
tt,0,113.889,1.05312
tt,50,113.889,1.05269
tt,125,113.889,1.03915
